User_Id,Place_Id,Place_Ratings,Location,Age
1,179,3,"Semarang, Jawa Tengah",20
1,344,2,"Semarang, Jawa Tengah",20
1,5,5,"Semarang, Jawa Tengah",20
1,373,3,"Semarang, Jawa Tengah",20
1,101,4,"Semarang, Jawa Tengah",20
1,312,2,"Semarang, Jawa Tengah",20
1,258,5,"Semarang, Jawa Tengah",20
1,20,4,"Semarang, Jawa Tengah",20
1,154,2,"Semarang, Jawa Tengah",20
1,393,5,"Semarang, Jawa Tengah",20
1,103,3,"Semarang, Jawa Tengah",20
1,208,5,"Semarang, Jawa Tengah",20
1,89,3,"Semarang, Jawa Tengah",20
1,405,5,"Semarang, Jawa Tengah",20
1,41,5,"Semarang, Jawa Tengah",20
1,336,4,"Semarang, Jawa Tengah",20
1,67,4,"Semarang, Jawa Tengah",20
1,292,3,"Semarang, Jawa Tengah",20
1,222,3,"Semarang, Jawa Tengah",20
1,76,2,"Semarang, Jawa Tengah",20
1,428,3,"Semarang, Jawa Tengah",20
1,15,3,"Semarang, Jawa Tengah",20
1,246,4,"Semarang, Jawa Tengah",20
1,265,5,"Semarang, Jawa Tengah",20
1,21,2,"Semarang, Jawa Tengah",20
1,328,2,"Semarang, Jawa Tengah",20
1,307,4,"Semarang, Jawa Tengah",20
1,302,2,"Semarang, Jawa Tengah",20
1,48,2,"Semarang, Jawa Tengah",20
1,328,2,"Semarang, Jawa Tengah",20
2,147,2,"Bekasi, Jawa Barat",21
2,2,5,"Bekasi, Jawa Barat",21
2,322,4,"Bekasi, Jawa Barat",21
2,23,3,"Bekasi, Jawa Barat",21
2,85,4,"Bekasi, Jawa Barat",21
2,371,3,"Bekasi, Jawa Barat",21
2,78,5,"Bekasi, Jawa Barat",21
2,111,2,"Bekasi, Jawa Barat",21
2,107,2,"Bekasi, Jawa Barat",21
2,185,2,"Bekasi, Jawa Barat",21
2,413,3,"Bekasi, Jawa Barat",21
2,389,2,"Bekasi, Jawa Barat",21
2,437,5,"Bekasi, Jawa Barat",21
2,105,2,"Bekasi, Jawa Barat",21
2,176,3,"Bekasi, Jawa Barat",21
2,407,5,"Bekasi, Jawa Barat",21
2,208,5,"Bekasi, Jawa Barat",21
2,437,4,"Bekasi, Jawa Barat",21
2,208,3,"Bekasi, Jawa Barat",21
2,281,2,"Bekasi, Jawa Barat",21
2,167,2,"Bekasi, Jawa Barat",21
2,384,5,"Bekasi, Jawa Barat",21
2,426,4,"Bekasi, Jawa Barat",21
2,390,2,"Bekasi, Jawa Barat",21
